observation_date,FINPRINTO01GPSAM
1966-02-01,1.9250551065392201
1966-03-01,0.9803921568627860
1966-04-01,0.6567675613934790
1966-05-01,0.9645390070922359
1966-06-01,1.0115200899131400
1966-07-01,-1.4047287899864100
1966-08-01,0.5078290308926150
1966-09-01,2.6526315789474801
1966-10-01,2.0371889526932501
1966-11-01,-0.1473938094598280
1966-12-01,-0.5501878690283070
1967-01-01,0.1619214680881550
1967-02-01,0.1481880641248430
1967-03-01,0.0538068334680286
1967-04-01,-0.9814466254371210
1967-05-01,-0.8010862186016100
1967-06-01,-1.6014234875443500
1967-07-01,2.4342745861737800
1967-08-01,2.2134709397061001
1967-09-01,-1.0894114521054501
1967-10-01,2.7938213566146599
1967-11-01,-0.6794721024427570
1967-12-01,-0.2894356005793240
1968-01-01,0.0131943528169476
1968-02-01,0.5540897097623400
1968-03-01,0.4460771451068930
1968-04-01,2.5208986415881798
1968-05-01,-1.2230857434069600
1968-06-01,-0.2708628917843400
1968-07-01,-0.7759958613550501
1968-08-01,1.0036496350364501
1968-09-01,2.7100271002712000
1968-10-01,1.0428445784646900
1968-11-01,2.1263367321563900
1968-12-01,1.8750760988675901
1969-01-01,0.6692960439818260
1969-02-01,1.1872254541140701
1969-03-01,1.7247448081660499
1969-04-01,0.5305651672433460
1969-05-01,1.8012849931159101
1969-06-01,-0.3493745069311220
1969-07-01,2.4428862248362599
1969-08-01,0.9163170677854330
1969-09-01,-0.3719505524561570
1969-10-01,0.9553091028877470
1969-11-01,2.3167283010659498
1969-12-01,1.3925799936220300
1970-01-01,2.3694694904590201
1970-02-01,-0.3584596476851940
1970-03-01,-0.4625346901017900
1970-04-01,3.4386617100373100
1970-05-01,1.1280822601574800
1970-06-01,-1.3622902270480399
1970-07-01,4.1132906325057403
1970-08-01,-1.0669999038740099
1970-09-01,-1.8072289156628500
1970-10-01,-2.1472392638032600
1970-11-01,1.9921124481744801
1970-12-01,1.0311322625422601
1971-01-01,2.9440628066731200
1971-02-01,-19.4470924690178002
1971-03-01,-7.2662721893496496
1971-04-01,33.0142930066364997
1971-05-01,1.1129233426076399
1971-06-01,2.0020874845808798
1971-07-01,0.4186046511631010
1971-08-01,-1.5655396016673899
1971-09-01,0.6399397703745759
1971-10-01,-0.5330091640173510
1971-11-01,-1.6546018614270701
1971-12-01,-0.5448809865215120
1972-01-01,5.6420607458669902
1972-02-01,-0.8006550814298460
1972-03-01,2.1003393561402199
1972-04-01,-0.0269493352499039
1972-05-01,2.4620361218441200
1972-06-01,-0.0876962202933651
1972-07-01,-0.1316597910995370
1972-08-01,-2.1532782562842998
1972-09-01,2.7755322015630601
1972-10-01,3.0938647089673998
1972-11-01,-0.5256018989492790
1972-12-01,3.0253962843021598
1973-01-01,-2.9530978575562501
1973-02-01,2.5997272417320101
1973-03-01,-0.3323087147962370
1973-04-01,-1.5503875968991401
1973-05-01,-0.8636017272033560
1973-06-01,2.1436501836194601
1973-07-01,4.2892976588625507
1973-08-01,-2.1646756995108500
1973-09-01,1.7536671310333301
1973-10-01,0.5395828299911810
1973-11-01,0.4966356936878970
1973-12-01,2.4709070620119000
1974-01-01,-1.3534536403236299
1974-02-01,-0.2680965147452090
1974-03-01,0.2213788741303850
