observation_date,DEUPRINTO01GYSAM
1969-05-01,13.8972809667674007
1969-06-01,13.2243684992570998
1969-07-01,14.4578313253008002
1969-08-01,10.1551480959096008
1969-09-01,10.8882521489972994
1969-10-01,12.0000000000000995
1969-11-01,9.9447513812153101
1969-12-01,9.7222222222223689
1970-01-01,8.7912087912086712
1970-02-01,9.6994535519127698
1970-03-01,8.9189189189189797
1970-04-01,9.2617449664430094
1970-05-01,8.7533156498674298
1970-06-01,6.5616797900261998
1970-07-01,8.1578947368421204
1970-08-01,3.5851472471191799
1970-09-01,4.0051679586564202
1970-10-01,3.4438775510202202
1970-11-01,1.0050251256282801
1970-12-01,3.5443037974684399
1971-01-01,5.1767676767676498
1971-02-01,2.6151930261517400
1971-03-01,1.7369727047147800
1971-04-01,1.4742014742012799
1971-05-01,-0.7317073170731820
1971-06-01,1.3546798029558000
1971-07-01,1.7031630170317500
1971-08-01,-0.9888751545116700
1971-09-01,1.8633540372671000
1971-10-01,1.3563501849567901
1971-11-01,0.7462686567164309
1971-12-01,-2.6894865525675100
1972-01-01,-0.7202881152460930
1972-02-01,1.0922330097087500
1972-03-01,2.6829268292681601
1972-04-01,1.9370460048427001
1972-05-01,2.8255528255525899
1972-06-01,2.3086269744834902
1972-07-01,1.1961722488039299
1972-08-01,5.1186017478151999
1972-09-01,2.8048780487802198
1972-10-01,3.8929440389295902
1972-11-01,7.2839506172841295
1972-12-01,10.5527638190957997
1973-01-01,7.3760580411123700
1973-02-01,7.5630252100840991
1973-03-01,7.1258907363420896
1973-04-01,6.5320665083136404
1973-05-01,7.8853046594982592
1973-06-01,6.5320665083136404
1973-07-01,2.2458628841608399
1973-08-01,8.4323040380047392
1973-09-01,7.8291814946619906
1973-10-01,5.7377049180326898
1973-11-01,4.4879171461448495
1973-12-01,2.1590909090906099
1974-01-01,1.5765765765766999
1974-02-01,0.3348214285712410
1974-03-01,-0.8869179600888070
1974-04-01,-0.1114827201784240
1974-05-01,0.3322259136214530
1974-06-01,-0.2229654403566930
1974-07-01,3.3526011560691198
1974-08-01,-4.4906900328586801
1974-09-01,-3.8503850385038199
1974-10-01,-3.5437430786267599
1974-11-01,-4.7356828193831699
1974-12-01,-8.5650723025584004
1975-01-01,-8.3148558758315296
1975-02-01,-8.4538375973301410
1975-03-01,-6.9351230425055901
1975-04-01,-8.3705357142857792
